n,K,event,old_best_r,new_best_r,best_ratio,best_margin,exact_holes,max_depth
110122,5,best_r_change,3,2,0.932202466355,7466,9512,8
110123,5,best_r_change,2,3,0.932568733749,7425.73333333,9460,8
110126,5,best_r_change,3,2,0.932277572962,7458,9507,8
110127,5,best_r_change,2,3,0.932157115573,7471.33333333,9524,8
110128,5,best_r_change,3,2,0.932278802848,7458,9486,8
110131,5,best_r_change,2,3,0.931577242859,7535.46666667,9580,8
110133,5,best_r_change,3,2,0.932290957297,7457,9471,9
110134,5,best_r_change,2,3,0.931961670934,7493.33333333,9555,8
110135,5,best_r_change,3,2,0.932491941708,7435,9445,8
110136,5,best_r_change,2,3,0.932110602649,7477.06666667,9526,8
110137,5,best_r_change,3,2,0.932829112832,7398,9409,8
110138,5,best_r_change,2,3,0.932337007512,7452.26666667,9502,8
110139,5,best_r_change,3,2,0.931713561954,7521,9548,8
110140,5,best_r_change,2,3,0.93312027117,7366.13333333,9422,8
